"feature_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","type"
"SYT12",1343.10730430508,5.62180194997882,0.275617346074755,20.3971267775506,1.77333763821024e-92,3.4770892792847e-90,"Up regulated"
"FRMD5",337.517770932293,3.65157217287077,0.179158223411018,20.381828438282,2.42428182749919e-92,4.72778054705942e-90,"Up regulated"
"PRC1",1450.53237196749,2.65786906466656,0.130761069889309,20.3261495712484,7.54997953458188e-92,1.46586527432707e-89,"Up regulated"
"GINS2",531.884630016226,3.00438086694618,0.148102594279659,20.2858085069939,1.71618139483725e-91,3.31737107594994e-89,"Up regulated"
"GJB2",1641.31723814827,4.65492078134219,0.229665333246755,20.2682778264184,2.45084404417273e-91,4.71669236027436e-89,"Up regulated"
"MNX1.AS1",70.8528038854555,5.31947981887566,0.262783563726526,20.2428178666895,4.10985928015507e-91,7.84071805886628e-89,"Up regulated"
"CBLC",876.889436533022,3.25792811511038,0.161131280817502,20.2190915294736,6.64963758715832e-91,1.25227230766918e-88,"Up regulated"
"BRIP1",346.261371231281,2.81339198292253,0.139216454526295,20.2087604694109,8.19809863282398e-91,1.53728363209266e-88,"Up regulated"
"CDCA2",266.844237886717,3.10944164784032,0.153990665143609,20.1924035131644,1.14172811195249e-90,2.13182501380269e-88,"Up regulated"
"FGL1",2477.75778365395,7.85276128382581,0.389700452094927,20.150762570614,2.65000372617046e-90,4.92709802968787e-88,"Up regulated"
"LGR4",3198.23968468842,2.7409870090644,0.136080641847421,20.1423727273252,3.13930677932008e-90,5.81222118859856e-88,"Up regulated"
"PBK",424.346318044189,3.56449041672159,0.177152296268059,20.1210511622608,4.82733980590966e-90,8.89995140098782e-88,"Up regulated"
"LINC02014",40.6469450550538,4.05240081627644,0.201614804381556,20.0997185137619,7.42133468544075e-90,1.35683643609356e-87,"Up regulated"
"PRAME",1082.92805705815,7.77832002068078,0.387132309554921,20.0921489338448,8.64387971884826e-90,1.57379584308441e-87,"Up regulated"
"SPP1",27577.6551679076,4.86784221310615,0.24245840747294,20.0770196581013,1.17219872029804e-89,2.1166628661711e-87,"Up regulated"
"MYEOV",907.534888900634,6.32303007230294,0.315295004364476,20.0543300235535,1.8501917506905e-89,3.30018552148571e-87,"Up regulated"
"ENSG00000259153",183.720716096547,3.03971737189189,0.151631199551441,20.0467804837267,2.15337509551636e-89,3.80999781516783e-87,"Up regulated"
"EEF1A2",2811.57320559365,6.53691191192625,0.326145398060485,20.042937753529,2.32624219205957e-89,4.09932454399124e-87,"Up regulated"
"TICRR",252.399982290203,3.06886177257968,0.153530319200148,19.9886366977391,6.9159620952996e-89,1.20902589952052e-86,"Up regulated"
"EPHA10",527.839413816446,3.64274281001232,0.182250352639439,19.9875761953616,7.06450051994737e-89,1.23009213616972e-86,"Up regulated"
"SPTBN2",2426.39927057886,2.56116734881501,0.12874927627005,19.892673753311,4.70958367538531e-88,8.13589850756818e-86,"Up regulated"
"SPC24",382.50746139694,2.80839341860645,0.14143395812439,19.8565709101946,9.66912028278091e-88,1.65730987846931e-85,"Up regulated"
"CABYR",577.89954415306,4.86208016106096,0.24493790866178,19.8502558776017,1.0964127125785e-87,1.87196472432809e-85,"Up regulated"
"KIF15",360.743010937083,2.82040611685197,0.142246119046865,19.8276489773528,1.7188830691731e-87,2.92336706171498e-85,"Up regulated"
"CENPI",239.109233596543,2.89332014968122,0.14595133167407,19.8238694809748,1.85298113126665e-87,3.12719073303267e-85,"Up regulated"
"CELSR3",784.783553789926,3.47021307773868,0.175156580162711,19.8120622960042,2.34288467998763e-87,3.92379530050295e-85,"Up regulated"
"PVT1",666.742779877892,2.85733562423262,0.144318392226237,19.7988321526849,3.04675316213098e-87,5.08321224338956e-85,"Up regulated"
"ORC1",323.751071899449,2.89885742115123,0.146423145758066,19.7978086465988,3.10928135570412e-87,5.16788471995989e-85,"Up regulated"
"PIMREG",291.564301875044,3.35227216462069,0.169771450473448,19.7457944505516,8.71829266729115e-87,1.43132789503232e-84,"Up regulated"
"CST1",831.727423235496,7.01176338413594,0.355360120319691,19.7314301273536,1.15846305692325e-86,1.88267409165685e-84,"Up regulated"
"IGSF9",1239.70437246767,3.27457783463321,0.166062723063931,19.7189217075078,1.48357671834005e-86,2.3933037802957e-84,"Up regulated"
"MCM4",3963.44033537497,2.33935808574442,0.118735615039404,19.7022442252737,2.06270986867862e-86,3.30327176378647e-84,"Up regulated"
"ATP10B",737.69088269939,5.38813833584669,0.273482005674201,19.7019848620884,2.07330445392047e-86,3.3081645866755e-84,"Up regulated"
"AURKA",1047.23705857379,2.80209129721188,0.142474082632402,19.6673756057203,4.10483298612e-86,6.47899160424314e-84,"Up regulated"
"MDK",13759.3604518271,3.17130923847454,0.161275135679214,19.6639688140301,4.39002207791195e-86,6.90429314540138e-84,"Up regulated"
"OTX1",266.983840126547,3.43049622827451,0.174622965643354,19.6451607360791,6.35950715542377e-86,9.93056279262774e-84,"Up regulated"
"RGS17",530.244886801388,3.85499072141128,0.196708045964406,19.5975243539801,1.62331587668828e-85,2.52586799124841e-83,"Up regulated"
"EPN3",857.79111548792,3.14156787814664,0.160469617730222,19.577337583169,2.4130781402472e-85,3.74146486628646e-83,"Up regulated"
"FER1L4",866.440022621178,4.19911518350532,0.214798284566372,19.5491094911785,4.1978442325035e-85,6.41802115254428e-83,"Up regulated"
"SLC2A1",7857.5736578337,3.61983669366003,0.185199944359861,19.5455603735299,4.50022562348627e-85,6.85643750461647e-83,"Up regulated"
"HTR3A",385.01114949757,6.06321782046636,0.31044479731362,19.5307438647172,6.0156785482618e-85,9.13363179997161e-83,"Up regulated"
"FUT2",1032.30227589223,3.13283501855118,0.160419757461449,19.5289848839476,6.22648151424793e-85,9.42109594357534e-83,"Up regulated"
