gene_ids,log2FoldChange
ENSG00000255366,2.13138671
ENSG00000260710,4.3072803164
IGKV1.39,2.9939049781
PRAMENP,2.9206020502
IGKV1OR22.1,2.9275551588
GC,7.4511929597
ESPNP,2.899565806
CARD14,2.1010634162
B3GAT1,2.6569590877
IGHV1.45,2.8582428711
IGHV3OR16.11,3.2537630542
CAPN8,2.0530545441
KRT6B,4.4844600147
FCGBP,2.3899890022
IGKV2D.29,2.7693626601
IGHV3.66,2.4951815777
LINC01705,3.0935297434
IGKV2D.28,3.811171749
IGKV7.3,2.9328530835
EGLN3,2.1606953007
IGKV6.21,3.0055251177
LRRC37A9P,3.0742558333
IL31RA,2.7346759086
COL9A1,2.7403127708
IGHV3.63,2.3428779347
TNFRSF17,2.1495187981
IGHV1.3,3.050891036
A1CF,4.2579447454
MYO3B,2.7538190194
SOX21.AS1,2.9547924592
ENSG00000226330,2.0825038946
ENSG00000261762,2.4224095936
ENSG00000236908,2.7408330396
LTF,2.6985893753
SDCBP2,2.2267461494
FAM30A,2.1960672493
POU3F2,4.259239867
ENSG00000270460,3.6982752559
LINC00862,2.6332289697
IGHV3.7,2.3980374159
IGFL1,4.2501712667
IGLV3.29,3.8103611137
ENSG00000265579,3.4336379252
IGKV2OR22.4,2.7071259408
ENSG00000235350,3.6634005195
ENSG00000229312,3.8778438457
IGHV1.12,2.693521665
NEIL3,2.0289962193
MUC21,3.1196603952
ENSG00000261502,4.8429299668
LINC00941,3.2009362426
IGLV7.46,2.4970929285
C15orf48,2.2163399809
TRIM51BP,4.6777772443
LRRC31,2.787560325
ENSG00000242078,2.6940941431
IGKV1OR2.6,2.8966399517
GUCA1A,3.4242410448
CDC37P1,2.9938284456
GRIN1,2.1931582636
ENSG00000249743,5.3044333972
HNF1A.AS1,3.4028947293
ENSG00000197099,2.3293095367
C8orf74,5.5313273668
TFF3,3.2561641405
PODNL1,2.0813822852
HABP2,2.8355806827
IGLV3.9,2.6695266923
IGHV4.59,2.4209988992
LGI2,2.0123114609
MB,2.2615215458
HOXA10,3.1173514188
BARX1.DT,5.2932062277
IGLVI.70,3.1662731455
ESPN,2.0945451114
MC5R,3.7430600432
IMPDH1P8,2.1296091987
IGHV3.49,2.4557825348
TPSP2,4.7636903804
CD19,2.1328302752
DLX3,2.3528593695
ENSG00000218617,3.7223919357
IGLV3.10,2.6990751999
SLC7A11,2.3721822712
RNU1.106P,2.372445316
ENSG00000256050,2.3614700192
TMEM156,2.0006532631
ENSG00000273272,2.1262951775
TLX1,4.8899455457
IGKV1.13,3.280600773
COCH,2.4308301444
FOXH1,2.7939150166
IGHV3.48,2.4296729613
IBSP,3.1252914677
IGKV1OR9.2,3.6080328075
PRKCG,2.8486356347
IGHVII.78.1,3.3697476448
LINP1,3.8526192815
IGLV3.19,2.4236092605
LINC00628,3.1279714269
IGLC2,2.1228033128
IGKV1.6,2.3080460419
ENSG00000231081,2.472105442
SERPINB4,4.7464534229
IGHV4OR15.8,3.0435281419
MMP9,2.0301229104
IGLJ2,2.4387529479
ENSG00000246465,2.1866554266
ENSG00000274979,2.6827715736
KIAA1549L,2.2987744224
VSTM5,2.047846538
IVL,3.8956067999
UNC93A,4.6386806382
SULT4A1,3.5801599773
IGLV3.16,2.7306880676
IGHV4.4,2.7571547496
IGKV1OR2.9,3.3976650734
LINC02003,3.4277575423
SSTR5,5.250061822
SERPINA5,2.9545106123
LINC02133,3.874513346
TINAG,5.4457096078
LINC00525,2.6866989883
BHLHA15,2.0957684669
SLC1A7,3.2182899378
YBX2,2.5952788754
LINC01133,3.3633386194
DEPDC7,2.1012520317
ENSG00000278635,3.0467448643
MTND4P20,3.6712992103
POU4F1,3.7684918514
IGHV3.21,2.3549271765
SCUBE3,2.2040492528
ENSG00000230107,2.1886078023
FSIP2,2.6533752736
IGKV1D.12,2.9885543025
IGKV1.17,2.3848998389
SH3PXD2A.AS1,2.6170700898
ENSG00000246528,2.5611500473
IGHV1OR16.3,3.4009885244
TFAP2D,5.4944499555
SLC4A11,2.0368830862
ENSG00000218048,2.8087566816
TPTE2,2.3882452427
IGLV7.43,2.4053371252
IGKV2.28,2.9769385978
